Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,releases,total_females
1560,246.181157771395,0,0,0,4.30665712045219e-7,3.81884164712932,0,0,0,53,0.1,0.001,10,249.99999984919003
1590,246.18115800579,0,0,0,2.52052589251098e-7,3.81884165389357,0,0,0,54,0.1,0.001,10,249.99999991173615
1620,246.181158142973,0,0,0,1.47516985569396e-7,3.81884165785242,0,0,0,55,0.1,0.001,10,249.9999999483424
1650,246.181158223261,0,0,0,8.63361930629162e-8,3.8188416601694,0,0,0,56,0.1,0.001,10,249.9999999697666
1680,246.181158270252,0,0,0,5.05293556469882e-8,3.81884166152544,0,0,0,57,0.1,0.001,10,249.9999999823068
1710,246.181158297752,0,0,0,2.95729483842199e-8,3.81884166231908,0,0,0,58,0.1,0.001,10,249.99999998964404
1740,246.181158313848,0,0,0,1.73079443572002e-8,3.81884166278357,0,0,0,59,0.1,0.001,10,249.9999999939395
1770,246.181158323268,0,0,0,1.01296946770854e-8,3.81884166305541,0,0,0,60,0.1,0.001,10,249.99999999645308
1800,246.181158328781,0,0,0,5.9285327087701705e-9,3.81884166321452,0,0,0,61,0.1,0.001,10,249.99999999792405
1830,246.181158332007,0,0,0,3.4697492074381103e-9,3.81884166330763,0,0,0,62,0.1,0.001,10,249.99999999878438
1860,246.181158333896,0,0,0,2.03071487560434e-9,3.81884166336213,0,0,0,63,0.1,0.001,10,249.99999999928886
1890,246.181158335002,0,0,0,1.1885017214207402e-9,3.81884166339402,0,0,0,64,0.1,0.001,10,249.99999999958453
1920,246.181158335648,0,0,0,6.955857559211501e-10,3.81884166341269,0,0,0,65,0.1,0.001,10,249.99999999975628
1950,246.181158336027,0,0,0,4.07100414847955e-10,3.81884166342362,0,0,0,66,0.1,0.001,10,249.99999999985772
1980,246.181158336249,0,0,0,2.38260698063608e-10,3.81884166343001,0,0,0,67,0.1,0.001,10,249.9999999999173
0,250,0,0,0,0,0,0,0,0,1,0.1,0.001,2,250
30,250.000322400697,0,0,0,0,0,0,0,0,2,0.1,0.001,2,250.000322400697
60,250.000090984018,0,0,0,0,0,0,0,0,3,0.1,0.001,2,250.000090984018
90,250.000018876751,0,0,0,0,0,0,0,0,4,0.1,0.001,2,250.000018876751
120,244.224036600234,0,0,0,12.061383530384,0.0117536311931724,0,0,0,5,0.1,0.001,2,256.29717376181117
150,229.85118017896,0,0,0,24.9870657741096,0.0483838071657244,0,0,0,6,0.1,0.001,2,254.8866297602353
180,223.975195027954,0,0,0,22.2629736126537,0.0832724298616657,0,0,0,7,0.1,0.001,2,246.32144107046935
210,229.827794116499,0,0,0,15.6442412244318,0.107431100251998,0,0,0,8,0.1,0.001,2,245.5794664411828
240,236.190521570596,0,0,0,10.3364219833928,0.126932631767351,0,0,0,9,0.1,0.001,2,246.65387618575613
270,241.083794962888,0,0,0,6.55543829732478,0.140064114150659,0,0,0,10,0.1,0.001,2,247.77929737436344
300,244.430765341048,0,0,0,4.02567530467699,0.148579823958101,0,0,0,11,0.1,0.001,2,248.60502046968307
330,246.581122156134,0,0,0,2.41497263664818,0.153857073533922,0,0,0,12,0.1,0.001,2,249.14995186631612
360,247.909159377281,0,0,0,1.42587446837491,0.157044586498071,0,0,0,13,0.1,0.001,2,249.49207843215396
390,248.70830085831,0,0,0,0.833286433983852,0.158934313579193,0,0,0,14,0.1,0.001,2,249.70052160587304
420,249.181080235149,0,0,0,0.483881624424675,0.160041734804257,0,0,0,15,0.1,0.001,2,249.82500359437793
450,249.457755682007,0,0,0,0.2799048763871,0.160685923920755,0,0,0,16,0.1,0.001,2,249.89834648231485
480,249.618571443985,0,0,0,0.161543200143042,0.161058969937341,0,0,0,17,0.1,0.001,2,249.94117361406538
510,249.711655725678,0,0,0,0.0931074892648517,0.161274413203831,0,0,0,18,0.1,0.001,2,249.9660376281467
540,249.765400120779,0,0,0,0.0536218421344481,0.1613986372542,0,0,0,19,0.1,0.001,2,249.98042060016763
570,249.796384377476,0,0,0,0.030867581666771,0.161470196873935,0,0,0,20,0.1,0.001,2,249.9887221560167
600,249.814231439009,0,0,0,0.0177643835291648,0.16151139628118,0,0,0,21,0.1,0.001,2,249.99350721881936
630,249.824506130281,0,0,0,0.0102219163230838,0.161535108643108,0,0,0,22,0.1,0.001,2,249.9962631552472
660,249.830419577749,0,0,0,0.00588134767915386,0.161548753787469,0,0,0,23,0.1,0.001,2,249.99784967921565
690,249.833822384413,0,0,0,0.0033837612314822,0.161556604967295,0,0,0,24,0.1,0.001,2,249.99876275061177
720,249.835780282953,0,0,0,0.00194674958770967,0.161561122121028,0,0,0,25,0.1,0.001,2,249.99928815466174
750,249.836906748477,0,0,0,0.00111998780406197,0.161563720959851,0,0,0,26,0.1,0.001,2,249.9995904572409
780,249.837554832183,0,0,0,6.4433595293714e-4,0.161565216110345,0,0,0,27,0.1,0.001,2,249.99976438424628
810,249.837927683716,0,0,0,3.7068845468223e-4,0.161566076282422,0,0,0,28,0.1,0.001,2,249.9998644484531
840,249.838142187988,0,0,0,2.1325753622441e-4,0.161566571142955,0,0,0,29,0.1,0.001,2,249.9999220166672
870,249.838265593107,0,0,0,1.2268710775152e-4,0.161566855837141,0,0,0,30,0.1,0.001,2,249.99995513605188
900,249.83833658828,0,0,0,7.05818466721689e-5,0.161567019621866,0,0,0,31,0.1,0.001,2,249.9999741897485
930,249.838377431835,0,0,0,4.06056853438716e-5,0.161567113847189,0,0,0,32,0.1,0.001,2,249.99998515136753
960,249.838400929124,0,0,0,2.33604133544966e-5,0.16156716805496,0,0,0,33,0.1,0.001,2,249.9999914575923
990,249.838414447097,0,0,0,1.34392216064062e-5,0.161567199240645,0,0,0,34,0.1,0.001,2,249.99999508555925
1020,249.838422223976,0,0,0,7.7315693874383e-6,0.161567217181737,0,0,0,35,0.1,0.001,2,249.99999717272715
1050,249.838426698007,0,0,0,4.44796306050626e-6,0.161567227503229,0,0,0,36,0.1,0.001,2,249.9999983734733
1080,249.838429271912,0,0,0,2.55890798475269e-6,0.161567233441171,0,0,0,37,0.1,0.001,2,249.99999906426115
1110,249.838430752676,0,0,0,1.47213676081387e-6,0.161567236857263,0,0,0,38,0.1,0.001,2,249.99999946167003
1140,249.838431604559,0,0,0,8.46918540390925e-7,0.161567238822536,0,0,0,39,0.1,0.001,2,249.99999969030006
1170,249.838432094646,0,0,0,4.87231232852108e-7,0.161567239953156,0,0,0,40,0.1,0.001,2,249.9999998218304
1200,249.838432376592,0,0,0,2.8030354982497e-7,0.1615672406036,0,0,0,41,0.1,0.001,2,249.99999989749915
1230,249.838432538795,0,0,0,1.612582990575e-7,0.161567240977799,0,0,0,42,0.1,0.001,2,249.9999999410311
1260,249.838432632111,0,0,0,9.27717076559989e-8,0.161567241193076,0,0,0,43,0.1,0.001,2,249.9999999660758
1290,249.838432685795,0,0,0,5.33714530348575e-8,0.161567241316925,0,0,0,44,0.1,0.001,2,249.99999998048338
1320,249.838432716679,0,0,0,3.07045334157597e-8,0.161567241388175,0,0,0,45,0.1,0.001,2,249.9999999887717
1350,249.838432734448,0,0,0,1.76642815292645e-8,0.161567241429164,0,0,0,46,0.1,0.001,2,249.99999999354145
1380,249.838432744669,0,0,0,1.01622401380686e-8,0.161567241452746,0,0,0,47,0.1,0.001,2,249.999999996284
1410,249.83843275055,0,0,0,5.846324654856021e-9,0.161567241466313,0,0,0,48,0.1,0.001,2,249.99999999786263
1440,249.838432753933,0,0,0,3.36338361462658e-9,0.161567241474117,0,0,0,49,0.1,0.001,2,249.9999999987705
1470,249.838432755879,0,0,0,1.93495058975544e-9,0.161567241478607,0,0,0,50,0.1,0.001,2,249.99999999929258
1500,249.838432756998,0,0,0,1.1131747709215902e-9,0.16156724148119,0,0,0,51,0.1,0.001,2,249.99999999959238
1530,249.838432757643,0,0,0,6.40408120582158e-10,0.161567241482676,0,0,0,52,0.1,0.001,2,249.9999999997661
1560,249.838432758013,0,0,0,3.68426029423757e-10,0.161567241483531,0,0,0,53,0.1,0.001,2,249.99999999986497
1590,249.838432758227,0,0,0,2.1195505614941002e-10,0.161567241484023,0,0,0,54,0.1,0.001,2,249.99999999992298
1620,249.838432758349,0,0,0,1.21937491489091e-10,0.161567241484306,0,0,0,55,0.1,0.001,2,249.99999999995524
1650,249.83843275842,0,0,0,7.01504936978507e-11,0.161567241484469,0,0,0,56,0.1,0.001,2,249.99999999997462
1680,249.83843275846,0,0,0,4.0357495516377e-11,0.161567241484563,0,0,0,57,0.1,0.001,2,249.9999999999849
1710,249.838432758484,0,0,0,2.3217619128512696e-11,0.161567241484616,0,0,0,58,0.1,0.001,2,249.99999999999184
1740,249.838432758497,0,0,0,1.3357068646091299e-11,0.161567241484647,0,0,0,59,0.1,0.001,2,249.999999999995
1770,249.838432758505,0,0,0,7.6843056916752e-12,0.161567241484665,0,0,0,60,0.1,0.001,2,249.99999999999736
1800,249.838432758509,0,0,0,4.4207719169270895e-12,0.161567241484675,0,0,0,61,0.1,0.001,2,249.9999999999981
1830,249.838432758512,0,0,0,2.54326482126584e-12,0.161567241484681,0,0,0,62,0.1,0.001,2,249.99999999999923
1860,249.838432758514,0,0,0,1.4631372241398899e-12,0.161567241484685,0,0,0,63,0.1,0.001,2,250.00000000000014
1890,249.838432758514,0,0,0,8.41741103310754e-13,0.161567241484687,0,0,0,64,0.1,0.001,2,249.99999999999952
1920,249.838432758514,0,0,0,4.84252654715496e-13,0.161567241484687,0,0,0,65,0.1,0.001,2,249.99999999999915
1950,249.838432758515,0,0,0,2.78589975797381e-13,0.161567241484688,0,0,0,66,0.1,0.001,2,249.99999999999997
1980,249.838432758515,0,0,0,1.60272481439227e-13,0.161567241484689,0,0,0,67,0.1,0.001,2,249.99999999999986
0,250,0,0,0,0,0,0,0,0,1,0.1,0.001,3,250
30,250.000322400697,0,0,0,0,0,0,0,0,2,0.1,0.001,3,250.000322400697
60,250.000090984018,0,0,0,0,0,0,0,0,3,0.1,0.001,3,250.000090984018
90,250.000018876751,0,0,0,0,0,0,0,0,4,0.1,0.001,3,250.000018876751
120,244.224036600234,0,0,0,12.061383530384,0.0117536311931724,0,0,0,5,0.1,0.001,3,256.29717376181117
150,229.85118017896,0,0,0,24.9870657741096,0.0483838071657244,0,0,0,6,0.1,0.001,3,254.8866297602353
180,218.040716407565,0,0,0,33.6113506743387,0.097743950402654,0,0,0,7,0.1,0.001,3,251.74981103230635
210,214.742524328698,0,0,0,28.7278037112039,0.147078529095947,0,0,0,8,0.1,0.001,3,243.61740656899786
240,222.490517423947,0,0,0,20.8930260042528,0.187964490093692,0,0,0,9,0.1,0.001,3,243.5715079182935
270,230.659540926485,0,0,0,14.3442093396047,0.221902179246513,0,0,0,10,0.1,0.001,3,245.2256524453362
300,237.157162476092,0,0,0,9.39857053690204,0.246268303133058,0,0,0,11,0.1,0.001,3,246.8020013161271
330,241.778628579297,0,0,0,5.91890114090689,0.262747802594249,0,0,0,12,0.1,0.001,3,247.96027752279812
360,244.849233002602,0,0,0,3.61592085053766,0.27331266160145,0,0,0,13,0.1,0.001,3,248.7384665147411
390,246.795207210923,0,0,0,2.1617263841681,0.279845444350601,0,0,0,14,0.1,0.001,3,249.2367790394417
420,247.988136473401,0,0,0,1.27375392395953,0.283781904887273,0,0,0,15,0.1,0.001,3,249.5456723022478
450,248.702946963285,0,0,0,0.743608770044225,0.286113648313924,0,0,0,16,0.1,0.001,3,249.73266938164315
480,249.124835894698,0,0,0,0.431637012846176,0.287479572366894,0,0,0,17,0.1,0.001,3,249.84395247991108
510,249.371430145684,0,0,0,0.249687632315693,0.288274174516343,0,0,0,18,0.1,0.001,3,249.90939195251605
540,249.514690526316,0,0,0,0.144141808572896,0.288734450935877,0,0,0,19,0.1,0.001,3,249.94756678582476
570,249.597609169011,0,0,0,0.0831121445411596,0.289000384102191,0,0,0,20,0.1,0.001,3,249.96972169765436
600,249.645494778916,0,0,0,0.0478891955144662,0.289153797696646,0,0,0,21,0.1,0.001,3,249.9825377721271
630,249.673111972978,0,0,0,0.0275826514323106,0.289242220773179,0,0,0,22,0.1,0.001,3,249.9899368451835
660,249.689027230486,0,0,0,0.0158830399853757,0.289293158528632,0,0,0,23,0.1,0.001,3,249.994203429
690,249.698194685237,0,0,0,0.00914477603071218,0.289322493229509,0,0,0,24,0.1,0.001,3,249.99666195449723
720,249.703473884988,0,0,0,0.00526476499442942,0.289339383897993,0,0,0,25,0.1,0.001,3,249.99807803388043
750,249.706513511888,0,0,0,0.00303085802839145,0.289349108406699,0,0,0,26,0.1,0.001,3,249.99889347832308
780,249.708263494077,0,0,0,0.00174478160909404,0.289354706793469,0,0,0,27,0.1,0.001,3,249.99936298247954
810,249.709270946509,0,0,0,0.00100440797482628,0.289357929667722,0,0,0,28,0.1,0.001,3,249.99963328415154
840,249.709850912505,0,0,0,5.7819661223823e-4,0.289359784972709,0,0,0,29,0.1,0.001,3,249.99978889408996
870,249.710184779165,0,0,0,3.3284252703421e-4,0.289360853000019,0,0,0,30,0.1,0.001,3,249.99987847469205
900,249.710376972923,0,0,0,1.9160236114046e-4,0.289361467818029,0,0,0,31,0.1,0.001,3,249.99993004310218
930,249.710487610595,0,0,0,1.1029661882989e-4,0.289361821741347,0,0,0,32,0.1,0.001,3,249.9999597289552
960,249.710551299729,0,0,0,6.34926036937398e-5,0.289362025478783,0,0,0,33,0.1,0.001,3,249.99997681781147
990,249.710587962632,0,0,0,3.65497020929886e-5,0.289362142760943,0,0,0,34,0.1,0.001,3,249.99998665509503
