Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,total_females
1200,249.97094469274,0,0,0,7.58520453099285e-7,0.0290542718636029,0,0,0,41,0.1,1e-4,249.99999972312406
1230,249.970945132315,0,0,0,4.36389329009903e-7,0.0290542720041922,0,0,0,42,0.1,1e-4,249.9999998407085
1260,249.97094538521,0,0,0,2.51061978601096e-7,0.0290542720850755,0,0,0,43,0.1,1e-4,249.99999990835707
1290,249.970945530705,0,0,0,1.44440096890217e-7,0.029054272131609,0,0,0,44,0.1,1e-4,249.9999999472767
1320,249.97094561441,0,0,0,8.30987697945576e-8,0.0290542721583805,0,0,0,45,0.1,1e-4,249.99999996966716
1350,249.970945662568,0,0,0,4.78080926636344e-8,0.0290542721737826,0,0,0,46,0.1,1e-4,249.99999998254987
1380,249.970945690273,0,0,0,2.75047841123616e-8,0.0290542721826437,0,0,0,47,0.1,1e-4,249.99999998996043
1410,249.970945706212,0,0,0,1.58239558773592e-8,0.0290542721877416,0,0,0,48,0.1,1e-4,249.9999999942237
1440,249.970945715383,0,0,0,9.10378276564102e-9,0.0290542721906745,0,0,0,49,0.1,1e-4,249.99999999667747
1470,249.970945720658,0,0,0,5.2375563531573305e-9,0.0290542721923619,0,0,0,50,0.1,1e-4,249.9999999980879
1500,249.970945723694,0,0,0,3.01325254099919e-9,0.0290542721933326,0,0,0,51,0.1,1e-4,249.9999999989006
1530,249.970945725439,0,0,0,1.7335738774688602e-9,0.0290542721938911,0,0,0,52,0.1,1e-4,249.99999999936648
1560,249.970945726445,0,0,0,9.97353639533122e-10,0.0290542721942124,0,0,0,53,0.1,1e-4,249.99999999963657
1590,249.970945727023,0,0,0,5.737939958658401e-10,0.0290542721943972,0,0,0,54,0.1,1e-4,249.99999999979119
1620,249.970945727355,0,0,0,3.30113148074736e-10,0.0290542721945036,0,0,0,55,0.1,1e-4,249.9999999998796
1650,249.970945727547,0,0,0,1.8991953787712003e-10,0.0290542721945648,0,0,0,56,0.1,1e-4,249.99999999993148
1680,249.970945727656,0,0,0,1.09263842042529e-10,0.0290542721946,0,0,0,57,0.1,1e-4,249.99999999995984
1710,249.970945727719,0,0,0,6.286129016177419e-11,0.0290542721946203,0,0,0,58,0.1,1e-4,249.99999999997647
1740,249.970945727756,0,0,0,3.61651368552698e-11,0.0290542721946319,0,0,0,59,0.1,1e-4,249.9999999999868
1770,249.970945727778,0,0,0,2.0806399620403098e-11,0.0290542721946386,0,0,0,60,0.1,1e-4,249.99999999999343
1800,249.97094572779,0,0,0,1.1970264813217499e-11,0.0290542721946424,0,0,0,61,0.1,1e-4,249.99999999999662
