Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,releases,total_females
1110,249.787758984225,0,0,0,3.15799855271684e-7,0.212240584564479,0,0,0,38,0.1,0.001,2,249.99999988458933
1140,249.787759166815,0,0,0,1.81723585465977e-7,0.212240585050232,0,0,0,39,0.1,0.001,2,249.9999999335888
1170,249.787759271884,0,0,0,1.04570856865417e-7,0.212240585329752,0,0,0,40,0.1,0.001,2,249.9999999617846
1200,249.787759332345,0,0,0,6.01741599354512e-8,0.2122405854906,0,0,0,41,0.1,0.001,2,249.99999997800975
1230,249.787759367136,0,0,0,3.4626564519312e-8,0.212240585583158,0,0,0,42,0.1,0.001,2,249.99999998734572
1260,249.787759387156,0,0,0,1.99254791648819e-8,0.212240585636419,0,0,0,43,0.1,0.001,2,249.9999999927179
1290,249.787759398677,0,0,0,1.14658998198232e-8,0.212240585667067,0,0,0,44,0.1,0.001,2,249.99999999580996
1320,249.787759405306,0,0,0,6.59792708509361e-9,0.212240585684704,0,0,0,45,0.1,0.001,2,249.99999999758862
1350,249.787759409122,0,0,0,3.79670523045335e-9,0.212240585694853,0,0,0,46,0.1,0.001,2,249.99999999861356
1380,249.787759411316,0,0,0,2.1847726445863503e-9,0.212240585700693,0,0,0,47,0.1,0.001,2,249.99999999920146
1410,249.787759412579,0,0,0,1.2572036064739302e-9,0.212240585704054,0,0,0,48,0.1,0.001,2,249.99999999954025
1440,249.787759413307,0,0,0,7.23444113066272e-10,0.212240585705987,0,0,0,49,0.1,0.001,2,249.99999999973642
1470,249.787759413724,0,0,0,4.16298030034236e-10,0.2122405857071,0,0,0,50,0.1,0.001,2,249.99999999984738
1500,249.787759413965,0,0,0,2.39554164143012e-10,0.21224058570774,0,0,0,51,0.1,0.001,2,249.9999999999123
1530,249.787759414103,0,0,0,1.37848832850402e-10,0.212240585708109,0,0,0,52,0.1,0.001,2,249.99999999994895
1560,249.787759414184,0,0,0,7.932360844644479e-11,0.212240585708321,0,0,0,53,0.1,0.001,2,249.99999999997164
1590,249.78775941423,0,0,0,4.56459059308048e-11,0.212240585708443,0,0,0,54,0.1,0.001,2,249.9999999999841
1620,249.787759414255,0,0,0,2.6266439072168396e-11,0.212240585708513,0,0,0,55,0.1,0.001,2,249.99999999998977
1650,249.787759414271,0,0,0,1.51147360855898e-11,0.212240585708553,0,0,0,56,0.1,0.001,2,249.99999999999466
1680,249.78775941428,0,0,0,8.69761014461503e-12,0.212240585708577,0,0,0,57,0.1,0.001,2,249.99999999999727
1710,249.787759414285,0,0,0,5.00494496227602e-12,0.21224058570859,0,0,0,58,0.1,0.001,2,249.9999999999986
1740,249.787759414288,0,0,0,2.8800410295372897e-12,0.212240585708598,0,0,0,59,0.1,0.001,2,249.99999999999946
1770,249.787759414289,0,0,0,1.65728822081712e-12,0.212240585708602,0,0,0,60,0.1,0.001,2,249.99999999999926
1800,249.78775941429,0,0,0,9.53668443848661e-13,0.212240585708605,0,0,0,61,0.1,0.001,2,249.99999999999957
1830,249.787759414291,0,0,0,5.4877811195949e-13,0.212240585708606,0,0,0,62,0.1,0.001,2,250.00000000000017
1860,249.787759414292,0,0,0,3.15788383382445e-13,0.212240585708607,0,0,0,63,0.1,0.001,2,250.0000000000009
1890,249.787759414291,0,0,0,1.81716983432932e-13,0.212240585708608,0,0,0,64,0.1,0.001,2,249.9999999999998
1920,249.787759414291,0,0,0,1.04567057579104e-13,0.212240585708608,0,0,0,65,0.1,0.001,2,249.99999999999972
