"Time","WW","WM","WR","MM","MR","RR"
1303,1.48556882344287e-20,19.2757138899719,0,230.657712258702,0,0
1304,1.36993288458873e-20,19.2513185117388,0,230.682287353081,0,0
1305,1.26327959227013e-20,19.2269845367859,0,230.706800318785,0,0
1306,1.16491264414215e-20,19.2027117342787,0,230.731251390543,0,0
1307,1.07418959489648e-20,19.1784998745359,0,230.755640801903,0,0
1308,9.90517699976737e-21,19.1543487290219,0,230.779968785246,0,0
1309,9.13350079295084e-21,19.1302580703395,0,230.804235571784,0,0
1310,8.42182176372058e-21,19.106227672223,0,230.828441391575,0,0
1311,7.76548490204804e-21,19.0822573095309,0,230.852586473528,0,0
1312,7.16019558907885e-21,19.0583467582395,0,230.876671045405,0,0
1313,6.6019917577701e-21,19.0344957954355,0,230.900695333839,0,0
1314,6.08721819909459e-21,19.0107041993094,0,230.924659564328,0,0
1315,5.61250284884886e-21,18.9869717491483,0,230.948563961254,0,0
1316,5.17473490275405e-21,18.96329822533,0,230.972408747882,0,0
1317,4.77104461922249e-21,18.9396834093152,0,230.996194146369,0,0
1318,4.39878467995296e-21,18.9161270836415,0,231.019920377773,0,0
1319,4.05551298848176e-21,18.8926290319169,0,231.043587662058,0,0
1320,3.73897679601822e-21,18.8691890388127,0,231.067196218099,0,0
1321,3.44709805239034e-21,18.8458068900574,0,231.090746263692,0,0
1322,3.17795988777228e-21,18.8224823724303,0,231.11423801556,0,0
1323,2.9297941381108e-21,18.7992152737544,0,231.137671689358,0,0
1324,2.70096983385803e-21,18.7760053828912,0,231.161047499679,0,0
1325,2.48998257779503e-21,18.7528524897331,0,231.184365660065,0,0
1326,2.29544474343493e-21,18.7297563851982,0,231.207626383008,0,0
1327,2.11607643076085e-21,18.7067168612231,0,231.230829879958,0,0
1328,1.9506971209169e-21,18.6837337107577,0,231.253976361334,0,0
1329,1.79821797595994e-21,18.6608067277583,0,231.277066036522,0,0
1330,1.65763473392585e-21,18.6379357071817,0,231.300099113888,0,0
1331,1.52802115329059e-21,18.6151204449793,0,231.32307580078,0,0
1332,1.40852296444064e-21,18.5923607380911,0,231.345996303542,0,0
1333,1.29835228902943e-21,18.5696563844395,0,231.368860827506,0,0
1334,1.19678249110798e-21,18.5470071829235,0,231.391669577012,0,0
1335,1.10314342669907e-21,18.5244129334129,0,231.414422755405,0,0
1336,1.01681706105089e-21,18.5018734367424,0,231.437120565048,0,0
1337,9.3723342517586e-22,18.4793884947055,0,231.459763207321,0,0
1338,8.63866885468097e-22,18.4569579100496,0,231.482350882632,0,0
1339,7.96232702212586e-22,18.4345814864693,0,231.50488379042,0,0
1340,7.33883854663118e-22,18.4122590286011,0,231.527362129163,0,0
1341,6.76408112087226e-22,18.3899903420182,0,231.549786096383,0,0
1342,6.23425331764786e-22,18.3677752332241,0,231.57215588865,0,0
1343,5.74584966393326e-22,18.3456135096476,0,231.594471701589,0,0
1344,5.29563764706671e-22,18.3235049796376,0,231.61673372989,0,0
1345,4.88063650362884e-22,18.3014494524564,0,231.638942167303,0,0
1346,4.49809765310689e-22,18.2794467382756,0,231.661097206656,0,0
1347,4.14548664908029e-22,18.2574966481702,0,231.683199039849,0,0
1348,3.82046653048807e-22,18.2355989941127,0,231.70524785787,0,0
1349,3.52088246460728e-22,18.2137535889689,0,231.727243850793,0,0
1350,3.24474758174055e-22,18.1919602464916,0,231.749187207787,0,0
1351,2.99022990933576e-22,18.1702187813159,0,231.77107811712,0,0
1352,2.75564032038995e-22,18.1485290089537,0,231.792916766163,0,0
1353,2.53942141756929e-22,18.126890745789,0,231.814703341401,0,0
1354,2.34013728054962e-22,18.1053038090722,0,231.836438028429,0,0
1355,2.15646400968623e-22,18.0837680169152,0,231.858121011969,0,0
1356,1.9871810042932e-22,18.0622831882866,0,231.879752475862,0,0
1357,1.8311629185862e-22,18.0408491430063,0,231.901332603084,0,0
1358,1.6873722427469e-22,18.0194657017407,0,231.922861575747,0,0
1359,1.55485246063221e-22,17.9981326859978,0,231.944339575101,0,0
1360,1.4327217394026e-22,17.9768499181221,0,231.965766781547,0,0
1361,1.32016710980494e-22,17.95561722129,0,231.987143374632,0,0
